station_id,code,name,city,state
6272,ACCI,ADICHUNCHUNA,,
1263,ACOI,CHHEOKI,,
457,ACPR,ARCHIPATHAR,,
7983,AKAH,ARTALAKATTA,,
3649,AKIP,"AKAIPUR H",,
7399,ALE,AMLETHA,,
4745,ALPD,ADALPAHARI,,
3729,AMBG,ARAMBAG,,
7803,AMD,"AMILA (HALT)",,
3769,AMZ,AMTA,,
7978,ARMU,ARMOOR,,
3678,ARNB,AMARUN,,
3547,ASKR,"ASHOKNAGAR R",,
7395,AVH,AVIDHA,,
6560,AZK,AZHWARKURUCH,,
3776,BAC,BARGACHIA,,
5615,BARA,BILARA,,
7793,BASR,BATESAR,,
6054,BBCE,BULBULCHANDI,,
7815,BBI,"BARA BANI",,
8117,BCL,"MUMBAI CENTR",,
5614,BCW,BHAWI,,
7800,BDB,VRINDAVAN,,
450,BDLN,BORDOLANI,,
8042,BDPR,BRINDABANPUR,,
7792,BDRI,BHADRAULI,,
7923,BDS,BORADIGHI,,
8145,BEPR,"BELAPUR C.B.",,
4838,BES,BES,,
8044,BEX,"BELBONI PH",,
447,BGND,BOGINADI,,
3069,BGNP,BANAGALAPALL,,
2981,BGNR,"B G NAGAR",,
7866,BGTN,BHAGTANWALA,,
7820,BHAU,BHALUA,,
7831,BHMW,BHAMBHEWA,,
6086,BHNG,BHALUKPONG,,
6023,BHRM,BISHRAMGANJ,,
331,BIDD,BIDIYAD,,
7391,BII,BORIDRA,,
501,BJL,BRAHMAJAN,,
6569,BJM,BAGAVATHIPUR,,
3784,BKNM,"BANKRA NAYAB",,
8046,BKNO,BIKNAPH,,
6024,BLGH,BISHALGARH,,
7833,BLJA,"BHALOJALA  H",,
7380,BMVR,BMVR,,
7175,BORD,"BOLAGARH ROA",,
7174,BORT,"Bolagarh tow",,
7944,BPJ,"BARA HAPJAN",,
7575,BPKH,"BUDHA PUSHKA",,
872,BPV,BHOTEPATTI,,
8054,BRA,BIRSOAL,,
4831,BRHI,BARHI,,
7809,BRHT,"BAILEY ROAD",,
4749,BRMA,BARMASIA,,
3712,BRMH,BELURMATH,,
7824,BRNI,"BARWASNI HAL",,
4865,BRPS,BARAPALASI,,
4326,BSRI,BASARI,,
8036,BTRB,"BETUR PH",,
